method,importance_method,pool_factor,ndcg@5,recall@5,avg_tokens,compression_ratio,pool_time_s,score_time_s
none,n/a,1,0.6598691427707672,0.75,1069.74,0.0,4.5299530029296875e-06,2.6360127925872803
random,n/a,2,0.6405391556024551,0.75,534.39,0.5004487071624881,0.026717185974121094,12.915143728256226
hierarchical,n/a,2,0.6712501955032348,0.76,534.39,0.5004487071624881,84.37913823127747,2.13820219039917
topk,self_similarity,2,0.653312092423439,0.75,534.39,0.5004487071624881,1.028351068496704,10.87333059310913
topk,centroid_distance,2,0.6603791356086731,0.77,534.39,0.5004487071624881,4.745303153991699,16.729141235351562
weighted_hierarchical,self_similarity,2,0.6641292029619217,0.75,534.39,0.5004487071624881,97.54433560371399,2.211789608001709
weighted_hierarchical,centroid_distance,2,0.6716884332895279,0.76,534.39,0.5004487071624881,55.84982705116272,2.1838324069976807
protect_and_pool,self_similarity,2,0.6616884332895279,0.75,534.39,0.5004487071624881,18.959815740585327,7.20112419128418
protect_and_pool,centroid_distance,2,0.6654797905683517,0.77,534.39,0.5004487071624881,33.275089502334595,4.112898349761963
adaptive,self_similarity,2,0.6598691427707672,0.75,1069.74,0.0,0.11541295051574707,15.909358501434326
adaptive,centroid_distance,2,0.6598691427707672,0.75,1069.74,0.0,0.12864995002746582,19.43786311149597
random,n/a,3,0.6348459213972092,0.75,356.55,0.6666947108643222,0.0511019229888916,4.096951484680176
hierarchical,n/a,3,0.6641237872838974,0.75,356.55,0.6666947108643222,101.01124405860901,6.132779836654663
topk,self_similarity,3,0.6307528620958328,0.72,356.55,0.6666947108643222,2.961108684539795,12.950505256652832
topk,centroid_distance,3,0.5955569612979889,0.68,356.55,0.6666947108643222,3.1216044425964355,12.510517120361328
weighted_hierarchical,self_similarity,3,0.6606934970617294,0.74,356.55,0.6666947108643222,93.701744556427,5.335886240005493
weighted_hierarchical,centroid_distance,3,0.6679923152923584,0.76,356.55,0.6666947108643222,82.83432817459106,4.706104755401611
protect_and_pool,self_similarity,3,0.6593070286512375,0.75,356.55,0.6666947108643222,39.115819692611694,8.306164979934692
protect_and_pool,centroid_distance,3,0.6418662589788436,0.74,356.55,0.6666947108643222,48.94754505157471,6.759214401245117
adaptive,self_similarity,3,0.6598691427707672,0.75,1069.74,0.0,0.051392316818237305,7.433711290359497
adaptive,centroid_distance,3,0.6598691427707672,0.75,1069.74,0.0,0.04983377456665039,6.6214599609375
random,n/a,4,0.5788096952438354,0.69,267.19,0.7502290276141866,0.09249305725097656,3.6766371726989746
hierarchical,n/a,4,0.6758119577169418,0.77,267.19,0.7502290276141866,92.6691586971283,5.262446641921997
topk,self_similarity,4,0.5750418221950531,0.69,267.19,0.7502290276141866,4.042982578277588,10.706285953521729
topk,centroid_distance,4,0.585379135608673,0.67,267.19,0.7502290276141866,2.3665361404418945,11.817186832427979
weighted_hierarchical,self_similarity,4,0.6550774335861206,0.73,267.19,0.7502290276141866,109.64433598518372,3.1080009937286377
weighted_hierarchical,centroid_distance,4,0.6789872515201568,0.78,267.19,0.7502290276141866,88.04030871391296,4.920879602432251
protect_and_pool,self_similarity,4,0.5750418221950531,0.69,267.19,0.7502290276141866,2.3088912963867188,10.836624383926392
protect_and_pool,centroid_distance,4,0.585379135608673,0.67,267.19,0.7502290276141866,2.381488800048828,11.747955322265625
adaptive,self_similarity,4,0.6712501955032348,0.76,534.39,0.5004487071624881,115.76691436767578,12.865386009216309
adaptive,centroid_distance,4,0.6712501955032348,0.76,534.39,0.5004487071624881,118.75379991531372,10.901811599731445
random,n/a,6,0.5946268057823181,0.68,177.8,0.8337913885617065,0.039606571197509766,3.855160713195801
hierarchical,n/a,6,0.668809425830841,0.77,177.8,0.8337913885617065,81.78138589859009,5.910287141799927
topk,self_similarity,6,0.5498281157016754,0.68,177.8,0.8337913885617065,1.453415870666504,10.299865484237671
topk,centroid_distance,6,0.5295674407482147,0.62,177.8,0.8337913885617065,1.7021265029907227,10.23221468925476
weighted_hierarchical,self_similarity,6,0.6709539091587067,0.76,177.8,0.8337913885617065,103.09881091117859,3.317511558532715
weighted_hierarchical,centroid_distance,6,0.6681161916255951,0.77,177.8,0.8337913885617065,89.45319199562073,4.080779790878296
protect_and_pool,self_similarity,6,0.5498281157016754,0.68,177.8,0.8337913885617065,1.5333294868469238,10.189239025115967
protect_and_pool,centroid_distance,6,0.5295674407482147,0.62,177.8,0.8337913885617065,1.5160562992095947,10.673827409744263
adaptive,self_similarity,6,0.6641237872838974,0.75,355.82,0.6673771196739395,101.24234056472778,6.976404428482056
adaptive,centroid_distance,6,0.6641237872838974,0.75,356.55,0.6666947108643222,89.39083480834961,4.179989814758301
random,n/a,8,0.5525416874885559,0.66,133.1,0.8755772430684091,0.10048604011535645,10.071449518203735
hierarchical,n/a,8,0.6405156713724136,0.73,133.1,0.8755772430684091,88.50879979133606,4.413957834243774
topk,self_similarity,8,0.5335366237163544,0.65,133.1,0.8755772430684091,1.0606741905212402,9.520926713943481
